"Time_Iter","Outer_Iter","Inner_Iter",     "rms[T]"     
          0,           0,         241,      -7.934839285
          0,           0,         242,      -7.937017257
          0,           0,         243,      -7.939189825
          0,           0,         244,      -7.941357042
          0,           0,         245,      -7.943518958
          0,           0,         246,      -7.945675624
          0,           0,         247,       -7.94782709
          0,           0,         248,      -7.949973406
          0,           0,         249,       -7.95211462
          0,           0,         250,      -7.954250782
          0,           0,         251,       -7.95638194
          0,           0,         252,       -7.95850814
          0,           0,         253,       -7.96062943
          0,           0,         254,      -7.962745857
          0,           0,         255,      -7.964857467
          0,           0,         256,      -7.966964305
          0,           0,         257,      -7.969066417
          0,           0,         258,      -7.971163848
          0,           0,         259,      -7.973256641
          0,           0,         260,      -7.975344841
          0,           0,         261,      -7.977428491
          0,           0,         262,      -7.979507635
          0,           0,         263,      -7.981582315
          0,           0,         264,      -7.983652572
          0,           0,         265,       -7.98571845
          0,           0,         266,      -7.987779989
          0,           0,         267,      -7.989837231
          0,           0,         268,      -7.991890215
          0,           0,         269,      -7.993938983
          0,           0,         270,      -7.995983575
          0,           0,         271,      -7.998024029
          0,           0,         272,      -8.000060385
          0,           0,         273,      -8.002092681
          0,           0,         274,      -8.004120957
          0,           0,         275,       -8.00614525
          0,           0,         276,      -8.008165597
          0,           0,         277,      -8.010182037
          0,           0,         278,      -8.012194606
          0,           0,         279,      -8.014203341
          0,           0,         280,      -8.016208278
          0,           0,         281,      -8.018209453
          0,           0,         282,      -8.020206902
          0,           0,         283,       -8.02220066
          0,           0,         284,      -8.024190762
          0,           0,         285,      -8.026177243
          0,           0,         286,      -8.028160138
          0,           0,         287,      -8.030139479
          0,           0,         288,      -8.032115302
          0,           0,         289,       -8.03408764
          0,           0,         290,      -8.036056525
          0,           0,         291,      -8.038021992
          0,           0,         292,      -8.039984071
          0,           0,         293,      -8.041942796
          0,           0,         294,      -8.043898198
          0,           0,         295,       -8.04585031
          0,           0,         296,      -8.047799162
          0,           0,         297,      -8.049744786
          0,           0,         298,      -8.051687213
          0,           0,         299,      -8.053626473
          0,           0,         300,      -8.055562596
          0,           0,         301,      -8.057495613
          0,           0,         302,      -8.059425554
          0,           0,         303,      -8.061352448
          0,           0,         304,      -8.063276323
          0,           0,         305,       -8.06519721
          0,           0,         306,      -8.067115137
          0,           0,         307,      -8.069030132
          0,           0,         308,      -8.070942224
          0,           0,         309,      -8.072851441
          0,           0,         310,       -8.07475781
          0,           0,         311,      -8.076661359
          0,           0,         312,      -8.078562115
          0,           0,         313,      -8.080460105
          0,           0,         314,      -8.082355355
          0,           0,         315,      -8.084247894
          0,           0,         316,      -8.086137746
          0,           0,         317,      -8.088024938
          0,           0,         318,      -8.089909495
          0,           0,         319,      -8.091791443
          0,           0,         320,      -8.093670809
          0,           0,         321,      -8.095547615
          0,           0,         322,      -8.097421889
          0,           0,         323,      -8.099293654
          0,           0,         324,      -8.101162934
          0,           0,         325,      -8.103029755
          0,           0,         326,       -8.10489414
          0,           0,         327,      -8.106756113
          0,           0,         328,      -8.108615697
          0,           0,         329,      -8.110472916
          0,           0,         330,      -8.112327794
          0,           0,         331,      -8.114180353
          0,           0,         332,      -8.116030615
          0,           0,         333,      -8.117878605
          0,           0,         334,      -8.119724343
          0,           0,         335,      -8.121567852
          0,           0,         336,      -8.123409155
          0,           0,         337,      -8.125248272
          0,           0,         338,      -8.127085226
          0,           0,         339,      -8.128920038
          0,           0,         340,      -8.130752729
          0,           0,         341,       -8.13258332
          0,           0,         342,      -8.134411832
          0,           0,         343,      -8.136238285
          0,           0,         344,      -8.138062701
          0,           0,         345,      -8.139885098
          0,           0,         346,      -8.141705498
          0,           0,         347,      -8.143523921
          0,           0,         348,      -8.145340385
          0,           0,         349,      -8.147154911
          0,           0,         350,      -8.148967517
          0,           0,         351,      -8.150778224
          0,           0,         352,       -8.15258705
          0,           0,         353,      -8.154394013
          0,           0,         354,      -8.156199133
          0,           0,         355,      -8.158002428
          0,           0,         356,      -8.159803917
          0,           0,         357,      -8.161603617
          0,           0,         358,      -8.163401546
          0,           0,         359,      -8.165197723
          0,           0,         360,      -8.166992165
          0,           0,         361,      -8.168784889
          0,           0,         362,      -8.170575913
          0,           0,         363,      -8.172365254
          0,           0,         364,      -8.174152928
          0,           0,         365,      -8.175938954
          0,           0,         366,      -8.177723347
          0,           0,         367,      -8.179506124
          0,           0,         368,      -8.181287302
          0,           0,         369,      -8.183066896
          0,           0,         370,      -8.184844923
          0,           0,         371,      -8.186621399
          0,           0,         372,      -8.188396339
          0,           0,         373,      -8.190169759
          0,           0,         374,      -8.191941675
          0,           0,         375,      -8.193712102
          0,           0,         376,      -8.195481055
          0,           0,         377,      -8.197248549
          0,           0,         378,      -8.199014599
          0,           0,         379,       -8.20077922
          0,           0,         380,      -8.202542427
          0,           0,         381,      -8.204304234
          0,           0,         382,      -8.206064655
          0,           0,         383,      -8.207823704
          0,           0,         384,      -8.209581396
          0,           0,         385,      -8.211337745
          0,           0,         386,      -8.213092764
          0,           0,         387,      -8.214846468
          0,           0,         388,      -8.216598869
          0,           0,         389,      -8.218349981
          0,           0,         390,      -8.220099817
          0,           0,         391,      -8.221848391
          0,           0,         392,      -8.223595716
          0,           0,         393,      -8.225341804
          0,           0,         394,      -8.227086669
          0,           0,         395,      -8.228830322
          0,           0,         396,      -8.230572777
          0,           0,         397,      -8.232314046
          0,           0,         398,      -8.234054141
          0,           0,         399,      -8.235793075
          0,           0,         400,      -8.237530859
          0,           0,         401,      -8.239267506
          0,           0,         402,      -8.241003027
          0,           0,         403,      -8.242737434
          0,           0,         404,      -8.244470738
          0,           0,         405,      -8.246202952
          0,           0,         406,      -8.247934086
          0,           0,         407,      -8.249664152
          0,           0,         408,      -8.251393161
          0,           0,         409,      -8.253121124
          0,           0,         410,      -8.254848051
          0,           0,         411,      -8.256573955
          0,           0,         412,      -8.258298844
          0,           0,         413,      -8.260022731
          0,           0,         414,      -8.261745626
          0,           0,         415,      -8.263467538
          0,           0,         416,      -8.265188479
          0,           0,         417,      -8.266908459
          0,           0,         418,      -8.268627487
          0,           0,         419,      -8.270345573
          0,           0,         420,      -8.272062728
          0,           0,         421,      -8.273778962
          0,           0,         422,      -8.275494283
          0,           0,         423,      -8.277208702
          0,           0,         424,      -8.278922229
          0,           0,         425,      -8.280634872
          0,           0,         426,       -8.28234664
          0,           0,         427,      -8.284057544
          0,           0,         428,      -8.285767593
          0,           0,         429,      -8.287476794
          0,           0,         430,      -8.289185158
          0,           0,         431,      -8.290892693
          0,           0,         432,      -8.292599408
          0,           0,         433,      -8.294305312
          0,           0,         434,      -8.296010413
          0,           0,         435,      -8.297714719
          0,           0,         436,       -8.29941824
          0,           0,         437,      -8.301120983
          0,           0,         438,      -8.302822958
          0,           0,         439,      -8.304524171
          0,           0,         440,      -8.306224631
          0,           0,         441,      -8.307924346
          0,           0,         442,      -8.309623325
          0,           0,         443,      -8.311321574
          0,           0,         444,      -8.313019101
          0,           0,         445,      -8.314715916
          0,           0,         446,      -8.316412024
          0,           0,         447,      -8.318107433
          0,           0,         448,      -8.319802151
          0,           0,         449,      -8.321496186
          0,           0,         450,      -8.323189544
          0,           0,         451,      -8.324882234
          0,           0,         452,      -8.326574261
          0,           0,         453,      -8.328265633
          0,           0,         454,      -8.329956357
          0,           0,         455,      -8.331646441
          0,           0,         456,       -8.33333589
          0,           0,         457,      -8.335024712
          0,           0,         458,      -8.336712913
          0,           0,         459,      -8.338400501
          0,           0,         460,      -8.340087481
          0,           0,         461,      -8.341773861
          0,           0,         462,      -8.343459646
          0,           0,         463,      -8.345144843
          0,           0,         464,      -8.346829458
          0,           0,         465,      -8.348513498
          0,           0,         466,      -8.350196969
